content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
scene,dark,dark_moderate,Canny Only,0.19376391982182628,1796,398
scene,dark,dark_moderate,CLAHE + Canny,0.45879732739420936,1796,946
scene,dark,dark_moderate,HistEq + Canny,0.7433184855233853,1796,56016
scene,dark,dark_moderate,Adaptive Thresh,0.4860801781737194,1796,228926
scene,dark,dark_moderate,Ours (ADRR + Canny),0.10690423162583519,1796,3221
scene,dark,dark_mild,Canny Only,0.5684855233853007,1796,1093
scene,dark,dark_mild,CLAHE + Canny,0.9175946547884187,1796,1833
scene,dark,dark_mild,HistEq + Canny,0.7544543429844098,1796,55459
scene,dark,dark_mild,Adaptive Thresh,0.4860801781737194,1796,211094
scene,dark,dark_mild,Ours (ADRR + Canny),0.5684855233853007,1796,1093
scene,motion_blur,mblur_severe_h,Canny Only,0.2099109131403118,1796,797
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.20879732739420936,1796,867
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.1714922048997773,1796,1575
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.7488864142538976,1796,232903
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.2099109131403118,1796,797
scene,motion_blur,mblur_moderate_h,Canny Only,0.2633630289532294,1796,837
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.26057906458797325,1796,1271
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.21547884187082406,1796,1633
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.7165924276169265,1796,228946
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.2633630289532294,1796,837
scene,motion_blur,mblur_moderate_d,Canny Only,0.02783964365256125,1796,257
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.07349665924276169,1796,1061
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.017817371937639197,1796,1595
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.7989977728285078,1796,223689
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.15979955456570155,1796,1173
scene,motion_blur,mblur_mild_v,Canny Only,0.26224944320712695,1796,836
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.26280623608017817,1796,1128
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.13474387527839643,1796,1564
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.6670378619153675,1796,224649
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.26224944320712695,1796,836
scene,gaussian_blur,gblur_heavy,Canny Only,0.11247216035634744,1796,389
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.04844097995545657,1796,282
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0016703786191536749,1796,1185
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.6959910913140311,1796,231574
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.01893095768374165,1796,221
scene,gaussian_blur,gblur_mild,Canny Only,0.18930957683741648,1796,526
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.11414253897550111,1796,411
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0016703786191536749,1796,1186
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.4304008908685969,1796,231828
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.11414253897550111,1796,1507
scene,combined,combined_dark_blur,Canny Only,0.0,1796,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.05623608017817372,1796,179
scene,combined,combined_dark_blur,HistEq + Canny,0.1787305122494432,1796,11070
scene,combined,combined_dark_blur,Adaptive Thresh,0.8084632516703786,1796,238124
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.08129175946547884,1796,763
scene,combined,combined_moderate,Canny Only,0.0,1796,0
scene,combined,combined_moderate,CLAHE + Canny,0.013919821826280624,1796,39
scene,combined,combined_moderate,HistEq + Canny,0.021158129175946547,1796,6646
scene,combined,combined_moderate,Adaptive Thresh,0.9649220489977728,1796,237572
scene,combined,combined_moderate,Ours (ADRR + Canny),0.007238307349665924,1796,461
scene,dark,dark_severe,Canny Only,0.0,2340,0
scene,dark,dark_severe,CLAHE + Canny,0.0,2340,0
scene,dark,dark_severe,HistEq + Canny,0.8286324786324787,2340,38860
scene,dark,dark_severe,Adaptive Thresh,0.4948717948717949,2340,234937
scene,dark,dark_severe,Ours (ADRR + Canny),0.15982905982905982,2340,4926
